申请学校,学位,专业,申请结果,入学年份,入学学期,通知时间,IELTS,本科学校档次,本科专业,本科成绩和算法，排名,其他说明,url
University College London,LLM,Law,AD无奖,2015,Fall,2014-12-24,,211,法学,AA,"很Average的经历. 实习*2，LoR*2,  赛事志愿者，学生会，校内新闻媒体，一些小奖状。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1800722&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
Durham University,LLM,Law,AD无奖,2015,Fall,2014-12-22,,211,法学,AA,"很Average的经历. 实习*2，LoR*2,  赛事志愿者，学生会，校内新闻媒体，一些小奖状。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1800722&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
University of Southern California,LLM,Law,AD无奖,2015,Fall,2015-01-13,,211,法学,AA,"很Average的经历. 实习*2，LoR*2,  赛事志愿者，学生会，校内新闻媒体，一些小奖状。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1800722&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
Emory University,LLM,Law,AD小奖,2015,Fall,2015-01-29,,211,法学,AA,"很Average的经历. 实习*2，LoR*2,  赛事志愿者，学生会，校内新闻媒体，一些小奖状。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1800722&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
College of William & Mary,LLM,Law,AD小奖,2015,Fall,2015-02-11,,211,法学,AA,"很Average的经历. 实习*2，LoR*2,  赛事志愿者，学生会，校内新闻媒体，一些小奖状。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1800722&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
The University of Sheffield,MA,Landscape Architecture,offer,2015,Fall,2015-02-04,,211,景观学,91（100）,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1803106&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MLA,Landscape Architecture,offer,2015,Fall,2015-02-07,,211,景观学,91（100）,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1803192&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=3
University College London,March,Urban Design,offer,2015,Fall,2015-01-28,,211,景观学,91（100）,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1803192&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=3
The University of Sheffield,MA,Landscape Architecture,offer,2015,Fall,2015-02-04,,211,景观学,91（100）,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1803192&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=3
University of Edinburgh,MLA,Landscape Architecture,offer,2015,Fall,2015-02-07,,211,景观学,91（100）,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1803192&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
University College London,March,Urban Design,offer,2015,Fall,2015-01-28,,211,景观学,91（100）,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1803192&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
The University of Sheffield,MA,Landscape Architecture,offer,2015,Fall,2015-02-04,,211,景观学,91（100）,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1803192&extra=page%3D15%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
Kings College London,MA,Cultural & Creative Industries,offer,2014,Fall,2014-02-13,,国内其他高校,Journalism,82/100,211。有媒体类较长实习经验和一年工作经验，公司是业界内英国一家大牛在中国的分公司。本科期间参与学校的与媒体相关的活动较多。其他没什么了。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1702255&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MA,Educational Administration,offer,2015,Fall,2015-03-17,,双非,汉语言文学,83/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1812971&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Hong Kong Institute of Education,MA,HK:Teaching Chinese as an International Language（MA）（FT）,offer,2015,Fall,2015-02-24,,双非,汉语言文学,83/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1812971&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Oxford,MS,Sociology,AD无奖,2015,Fall,2015-04-08,,,sociology minor stat,3.86/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830456&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Chicago,MAPSS,MAPSS,AD小奖,2015,Fall,2015-05-08,,,sociology minor stat,3.86/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830456&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Columbia University,MA,Sociology,AD无奖,2015,Fall,2015-03-11,,,sociology minor stat,3.86/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830456&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
London School of Economics and Political,MS,Social Psychology,AD无奖,2015,Fall,2015-03-17,,,sociology minor stat,3.86/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830456&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,Petroleum Engineering,offer,2015,Fall,2015-01-10,,211 & 985,地质学,85/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1798934&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Hong Kong Polytechnic University,MS,HK:Finance (Investment Management)（Master）（PT）,AD无奖,2015,Fall,2015-04-02,,211,国贸,83,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1819132&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,MS,business(finance and accounting),AD无奖,2015,Fall,2015-04-02,,211,国贸,83,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1819132&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Cambridge,PhD,Environmental Engineering,offer,2015,Fall,2015-02-05,,,,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1805226&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,金融数学,AD小奖,2015,Fall,2015-02-19,,浙江工业大学,电气工程及其自动化,80,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1832277&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Nanyang Technological University,MS,Environmental Engineering,AD无奖,2015,Fall,2015-05-21,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
National University of Singapore,MS,Chemical Engineering,被拒,2015,Fall,2015-05-15,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
National University of Singapore,MS,Environmental Engineering,被拒,2015,Fall,2015-05-15,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Hong Kong University of Science and,MS,HK:Chemical and Biomolecular Engineering (MSc)（FT / PT）,AD无奖,2015,Fall,2015-03-28,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Hong Kong University of Science and,MS,HK:环境工程与管理,AD无奖,2015,Fall,2015-04-10,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Hong Kong Polytechnic University,MS,HK:环境工程,AD无奖,2015,Fall,2015-03-22,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,Chemical Engineering,AD无奖,2015,Fall,2015-02-09,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Birmingham,MS,Chemical Engineering,AD无奖,2015,Fall,2015-02-05,,北京化工大学,化学工程与工艺,,无论文，三个实习，一个中石化，一个船舶设计公司，一个节能环保公司。志愿活动若干，唯一与新加坡有关的就是亚投行筹备仪式的新加坡联络官,http://bbs.gter.net/forum.php?mod=viewthread&tid=1833076&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MS,E-Business and Innovation,offer,2015,Fall,2015-02-02,,双非,电子商务,3.54/5,本科电子商务，辅修历史，GPA排名班级第一年级第五，参加大小辩论赛和其他各种比赛,http://bbs.gter.net/forum.php?mod=viewthread&tid=1834319&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MArch,Urban Design,offer,2015,Fall,2014-12-05,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境设计,86/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1837097&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MA,Urban Design,offer,2015,Fall,2015-01-21,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境设计,86/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1837097&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Sheffield,MA,Urban Design,offer,2015,Fall,2015-01-21,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境设计,86/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1837097&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Cardiff University,MA,Urban Design,offer,2015,Fall,2015-02-11,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境设计,86/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1837097&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University Of Southampton,PhD,Educational Research,offer,2014,Fall,2014-03-26,,国内其他高校,,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1717524&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Hong Kong Baptist University,MA,HK:Communication（MA）（FT / PT）,offer,2015,Fall,2015-03-05,,211,英语财经新闻,86,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816671&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Kings College London,MA,Cultural & Creative Industries,offer,2015,Fall,2015-03-03,,211,英语财经新闻,86,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816671&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Glasgow,MA,Media Management,offer,2015,Fall,2015-01-09,,211,英语财经新闻,86,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816671&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bedfordshire,MA,Intercultural Communication,offer,2015,Fall,2015-06-18,,,Intercultural Communication,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1837586&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Imperial College London,MS,Environmental Engineering,AD无奖,2015,Fall,2015-04-14,,211,环境工程,89/100  Rank:1/90,1个专利（在审），1篇论文（在审），3个项目（专业方面的）,http://bbs.gter.net/forum.php?mod=viewthread&tid=1820964&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Nottingham,MArch,March Design,offer,2015,Fall,2015-02-20,,双非,建筑学,绩点3.6 排名前三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1832040&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Cardiff University,MA,Urban design,offer,2015,Fall,2015-02-20,,双非,建筑学,绩点3.6 排名前三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1832040&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,March,urban design,offer,2015,Fall,2015-03-11,,双非,建筑学,绩点3.6 排名前三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1832040&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Sheffield,MA,architecture design,被拒,2015,Fall,2015-02-27,,双非,建筑学,绩点3.6 排名前三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1832040&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,architecture and urban design,被拒,2015,Fall,2015-04-27,,双非,建筑学,绩点3.6 排名前三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1832040&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Helsinki,MA,Intercultural Encounters (方向为Speech Communication),AD无奖,2015,Fall,2015-05-08,,双非,新闻学,3.53/4,电台半年实习，报社一年编辑；外国人中国文化调研项目，毕业论文研究广州媒体与黑人形象建构；微电影作品两部，校级提名；无牛推。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1836239&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Westminster,MA,"Film and Television: Theory, Culture and Industry",AD无奖,2015,Fall,2015-02-09,,双非,新闻学,3.53/4,电台半年实习，报社一年编辑；外国人中国文化调研项目，毕业论文研究广州媒体与黑人形象建构；微电影作品两部，校级提名；无牛推。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1836239&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Helsinki,MA,Intercultural Encounters (方向为Speech Communication),AD无奖,2015,Fall,2015-05-08,,双非,新闻学,3.53/4,电台半年实习，报社一年编辑；外国人中国文化调研项目，毕业论文研究广州媒体与黑人形象建构；微电影作品两部，校级提名；无牛推。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1836254&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
University of Westminster,MA,"Film and Television: Theory, Culture and Industry",AD无奖,2015,Fall,2015-02-09,,双非,新闻学,3.53/4,电台半年实习，报社一年编辑；外国人中国文化调研项目，毕业论文研究广州媒体与黑人形象建构；微电影作品两部，校级提名；无牛推。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1836254&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
University of Toronto,MA,Political Science,AD无奖,2015,Fall,2015-03-31,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,85.27/100,一个学期奥斯陆大学的交流经历。本科毕业gap申请，毕业论文就算是科研内容吧。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816893&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
London School of Economics and Political,MA,Economics,AD无奖,2015,Fall,2015-03-18,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,85.27/100,一个学期奥斯陆大学的交流经历。本科毕业gap申请，毕业论文就算是科研内容吧。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816893&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Duke University,MA,Economics,被拒,2015,Fall,2015-03-09,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,85.27/100,一个学期奥斯陆大学的交流经历。本科毕业gap申请，毕业论文就算是科研内容吧。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1816893&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Cambridge,LLM,Law,offer,2015,Fall,2015-03-23,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1829859&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
New York University,LLM,International Legal Studies,offer,2015,Fall,2015-02-27,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1829859&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Michigan - Ann Arbor,LLM,Law,offer,2015,Fall,2015-02-17,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1829859&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MA,Material and Visual Culture,offer,2015,Fall,2015-01-06,,,Accounting,3.6/4,"一份商科實習，三份半文化類實習，一篇Writing Sample，一份攝影作品集。
以及許多和攝影、雜誌有關的活動經歷。無研究無論文",http://bbs.gter.net/forum.php?mod=viewthread&tid=1796385&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Chinese University of Hong Kong,MA,HK:Visual Culture Studies,AD无奖,2015,Fall,2015-01-05,,,Accounting,3.6/4,"一份商科實習，三份半文化類實習，一篇Writing Sample，一份攝影作品集。
以及許多和攝影、雜誌有關的活動經歷。無研究無論文",http://bbs.gter.net/forum.php?mod=viewthread&tid=1796385&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University Of Southampton,MA,transnational studies,offer,2015,Fall,2015-03-20,,211 & 985,日语,85左右,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1821904&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Exeter,MPA,Master of Public Administration,offer,2015,Fall,2015-04-17,,211 & 985,日语,85左右,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1821904&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MA,"Environment, Culture and Society",offer,2015,Fall,2015-05-28,,211 & 985,日语,85左右,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1821904&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Durham University,MA,International Studies,offer,2015,Fall,2015-04-30,,211 & 985,日语,85左右,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1821904&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Durham University,MA,Translation Studies,offer,2015,Fall,2015-04-25,,双非,英语,76.65%,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830473&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Leeds,MS,Food Science,offer,2015,Fall,2014-11-28,,211,食品质量与安全,加权平均分88；年级第4,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830665&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
National University of Singapore,MS,Intellectual Property Management,AD无奖,2015,Fall,2015-05-14,,211 & 985,Biomedical engineering,86.5/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830327&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Nanyang Technological University,MS,Knowledge management,AD无奖,2015,Fall,2015-04-29,,211 & 985,Biomedical engineering,86.5/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830327&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Imperial College London,MS,Bioengineering and Biomedical Engineering,AD无奖,2015,Fall,2015-02-20,,211 & 985,Biomedical engineering,86.5/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830327&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MS,Project and enterprise management,AD无奖,2015,Fall,2015-03-30,,211 & 985,Biomedical engineering,86.5/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1830327&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Arizona,PhD,Mechanical Engineering,offer,2015,Fall,2014-12-10,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Worcester Polytechnic Institute,PhD,Mechanical Engineering,offer,2015,Fall,2015-03-09,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Kansas,PhD,Mechanical Engineering,offer,2015,Fall,2015-02-11,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
North Carolina State University,PhD,Mechanical Engineering,offer,2015,Fall,2015-02-19,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Kentucky,PhD,Mechanical Engineering,offer,2015,Fall,2015-03-05,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Pittsburgh,PhD,Mechanical Engineering,offer,2015,Fall,2015-05-01,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Minnesota - Twin Cities,PhD,Materials Engineering,AD无奖,2015,Spring,2015-03-05,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Rochester,PhD,Mechanical Engineering,AD无奖,2015,Fall,2015-03-04,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Waterloo,PhD,Mechanical Engineering,offer,2015,Fall,2015-03-18,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Alberta,PhD,Mechanical Engineering,offer,2015,Fall,2015-05-01,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Ottawa,PhD,Mechanical Engineering,被拒,2015,Fall,2015-02-04,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Missouri,PhD,Mechanical Engineering,被拒,2015,Fall,2015-02-11,,双非,材料成型及控制工程,86,"863项目参与。
一作SCI：8篇(IF3.01*3+1.8*1+1.9+2.2*1+0.8+0.4)
一作EI：1篇，中文核心1篇
挂名SCI2篇。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1829927&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MA,"arts management,policy and practice",offer,2015,Fall,2015-05-21,,双非,文化产业管理,3.61/5，级排名第10,奖学金拿过三等，二等，优干。不算牛推，3个实习（一个新媒体相关），1个研究项目,http://bbs.gter.net/forum.php?mod=viewthread&tid=1835090&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,MS,Statistics,offer,2015,Fall,2014-11-10,,211 & 985,应用数学,87.5,EI一篇，美国数学建模二等，实用专利一个，科研项目若干,http://bbs.gter.net/forum.php?mod=viewthread&tid=1788492&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Wageningen University,MS,Environmental Science,AD无奖,2015,Fall,2014-11-18,,同济大学,环境科学,4.13/5 86.3/95,中文水论文一篇，大牛推荐信一封（亲写），一学年EM交换经历，国创经历（申请时还未结题），小奖两个，水实习，活动等,http://bbs.gter.net/forum.php?mod=viewthread&tid=1829157&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,Environmental Protection and Management,AD无奖,2015,Fall,2014-12-17,,同济大学,环境科学,4.13/5 86.3/95,中文水论文一篇，大牛推荐信一封（亲写），一学年EM交换经历，国创经历（申请时还未结题），小奖两个，水实习，活动等,http://bbs.gter.net/forum.php?mod=viewthread&tid=1829157&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MS,Environmental Engineering,AD无奖,2015,Fall,2015-02-06,,同济大学,环境科学,4.13/5 86.3/95,中文水论文一篇，大牛推荐信一封（亲写），一学年EM交换经历，国创经历（申请时还未结题），小奖两个，水实习，活动等,http://bbs.gter.net/forum.php?mod=viewthread&tid=1829157&extra=page%3D16%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
